0,0,0,0
0.01,-1.19877e+135,0.03,-0.0399063
0.02,-8.97898e+135,0.06,5.73109e+136
0.03,-3.04671e+136,0.09,1.72058e+137
0.04,-7.2679e+136,0.12,3.44472e+137
0.05,-1.42464e+137,0.15,5.74887e+137
0.06,-2.4645e+137,0.18,8.63737e+137
0.07,-3.90991e+137,0.21,1.21155e+138
0.08,-5.82115e+137,0.24,1.61894e+138
0.09,-8.25472e+137,0.27,2.08662e+138
0.1,-1.12629e+138,0.3,2.61535e+138
0.11,-1.48933e+138,0.33,3.20597e+138
0.12,-1.91884e+138,0.36,3.85938e+138
0.13,-2.41851e+138,0.39,4.57651e+138
0.14,-2.99146e+138,0.42,5.35832e+138
0.15,-3.64017e+138,0.45,6.20582e+138
0.16,-4.36651e+138,0.48,7.11998e+138
0.17,-5.17163e+138,0.51,8.10178e+138
0.18,-6.05603e+138,0.54,9.15217e+138
0.19,-7.01947e+138,0.57,1.02721e+139
0.2,-8.06101e+138,0.6,1.14623e+139
0.21,-9.17898e+138,0.63,1.27236e+139
0.22,-1.0371e+139,0.66,1.40567e+139
0.23,-1.16338e+139,0.69,1.54621e+139
0.24,-1.29637e+139,0.72,1.69403e+139
0.25,-1.4356e+139,0.75,1.84914e+139
0.26,-1.58056e+139,0.78,2.01156e+139
0.27,-1.73063e+139,0.81,2.18128e+139
0.28,-1.88517e+139,0.84,2.35827e+139
0.29,-2.04345e+139,0.87,2.54247e+139
0.3,-2.20469e+139,0.9,2.73382e+139
0.31,-2.36805e+139,0.93,2.93222e+139
0.32,-2.53265e+139,0.96,3.13753e+139
0.33,-2.69754e+139,0.99,3.34962e+139
0.34,-2.86176e+139,1.02,3.5683e+139
0.35,-3.02429e+139,1.05,3.79338e+139
0.36,-3.18408e+139,1.08,4.02464e+139
0.37,-3.34006e+139,1.11,4.26181e+139
0.38,-3.49114e+139,1.14,4.50463e+139
0.39,-3.63622e+139,1.17,4.75279e+139
0.4,-3.77418e+139,1.2,5.00598e+139
0.41,-3.90391e+139,1.23,5.26385e+139
0.42,-4.02431e+139,1.26,5.52606e+139
0.43,-4.13428e+139,1.29,5.79223e+139
0.44,-4.23274e+139,1.32,6.06199e+139
0.45,-4.31865e+139,1.35,6.33493e+139
0.46,-4.391e+139,1.38,6.61066e+139
0.47,-4.4488e+139,1.41,6.88879e+139
0.48,-4.49113e+139,1.44,7.16893e+139
0.49,-4.51711e+139,1.47,7.45068e+139
0.5,-4.52592e+139,1.5,7.73367e+139
0.51,-4.51681e+139,1.53,8.01752e+139
0.52,-4.4891e+139,1.56,8.3019e+139
0.53,-4.44217e+139,1.59,8.58648e+139
0.54,-4.37551e+139,1.62,8.87095e+139
0.55,-4.28867e+139,1.65,9.15503e+139
0.56,-4.18132e+139,1.68,9.4385e+139
0.57,-4.05319e+139,1.71,9.72112e+139
0.58,-3.90413e+139,1.74,1.00027e+140
0.59,-3.73409e+139,1.77,1.02832e+140
0.6,-3.54312e+139,1.8,1.05625e+140
0.61,-3.33138e+139,1.83,1.08404e+140
0.62,-3.09914e+139,1.86,1.11171e+140
0.63,-2.84677e+139,1.89,1.13924e+140
0.64,-2.57477e+139,1.92,1.16666e+140
0.65,-2.28373e+139,1.95,1.19397e+140
0.66,-1.97436e+139,1.98,1.2212e+140
0.67,-1.64747e+139,2.01,1.24835e+140
0.68,-1.304e+139,2.04,1.27546e+140
0.69,-9.44962e+138,2.07,1.30255e+140
0.7,-5.71497e+138,2.1,1.32966e+140
0.71,-1.84832e+138,2.13,1.35683e+140
0.72,2.13706e+138,2.16,1.38409e+140
0.73,6.22702e+138,2.19,1.41149e+140
0.74,1.04065e+139,2.22,1.43908e+140
0.75,1.46598e+139,2.25,1.46692e+140
0.76,1.89702e+139,2.28,1.49504e+140
0.77,2.33206e+139,2.31,1.52351e+140
0.78,2.76931e+139,2.34,1.55239e+140
